OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
ЛЕВАЯ  ПОЧЕЧНАЯ  ВЕНА,1.73850000,-0.34260000,0.19080000,-1.26520000,1.86500000,-0.34760000,0.20310000,-1.38640000,1
ЛЕВАЯ ВЕТВЬ СОБСТВЕННОЙ АРТЕРИИ ПЕЧЕНИ,1.69940000,0.00000000,1.64450000,0.00000000,0.00000000,0.00000000,0.00000000,-512.00000000,1
ЛЕВАЯ ЖЕЛУДОЧНАЯ АРТЕРИЯ,1.72500000,0.00000000,1.81250000,0.00000000,1.90620000,0.00000000,2.25000000,0.00000000,1
ЛЕВАЯ Л,1.76400000,1.32400000,1.87800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ ЛЕГОЧНАЯ АРТЕРИЯ,1.75400000,0.02400000,0.00000000,4.31300000,0.01510000,0.00830000,0.00810000,0.00000000,1
ЛЕВАЯ ОБЩАЯ ПОДВЗДОШНАЯ АРТЕРИЯ,1.80800000,1.08800000,2.39700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ ОБЩАЯ ПОДВЗДОШНАЯ ВЕНА,1.76400000,1.32400000,1.87800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ ОБЩАЯ СОННАЯ АРТЕРИЯ,1.70200000,1.30700000,1.94800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ ПОДКЛЮЧИЧНАЯ АРТЕРИЯ,1.73460000,0.00000000,1.78430000,0.00000000,1.72150000,0.00000000,1.78460000,0.00000000,1
ЛЕВАЯ ПОДМЫШЕЧНАЯ АРТЕРИЯ,1.77800000,1.53300000,1.66700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ ПОЧЕЧНАЯ АРТЕРИЯ,1.78250000,1.75150000,1.97150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
ЛЕВАЯ ПОЧКА,1.84200000,1.54300000,2.15500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВОЕ  ПРЕДСЕРДИЕ,1.75400000,0.00000000,0.00000000,0.00000000,7.76610000,143.80680000,0.00000000,0.00000000,1
ЛЕВОЕ ПРЕДСЕРДИЕ,1.73540000,0.70100000,0.93750000,-0.00000000,0.83240000,-0.35710000,0.50000000,-0.00010000,2
ЛЕВЫЕ ЛЕГОЧНЫЕ ВЕНЫ,1.68170000,1.29370000,1.97970000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВЫЙ ЖЕЛУДОЧЕК,1.81130000,1.61860000,2.07690000,0.92680000,0.93460000,0.94240000,0.95020000,0.95800000,2
ЛЕВЫЙ НАДПОЧЕЧНИК,1.80800000,1.08800000,2.39700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕГОЧНЫЙ СТВОЛ,1.73850000,-0.34260000,0.19080000,-1.26520000,1.86500000,-0.34760000,0.20310000,-1.38640000,1
ЛИЗОСОМЫ,1.74500000,1.89800000,1.95400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
ЛИМФОИДНЫЕ УЗЕЛКИ,1.70200000,1.30700000,1.94800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛИПИДНЫЙ  СЛОЙ,1.73850000,-0.34260000,0.19080000,-1.26520000,1.86500000,-0.34760000,0.20310000,-1.38640000,1
ЛИЦЕВАЯ АРТЕРИЯ,1.73500000,0.88770000,1.85640000,-73.26670000,1.02980000,0.00000000,0.00000000,0.00000000,2
ЛОБНАЯ ВЕТВЬ,1.76500000,1.32400000,2.17900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛОБНАЯ ДОЛЯ,1.85040000,2.37900000,0.96500000,1.14140000,-0.00020000,1.07990000,-0.00000000,1.09670000,2
"ЛОБНАЯ ДОЛЯ, ПОКРЫТАЯ ПАУТИННОЙ И",1.64300000,1.21700000,1.56400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛОБНАЯ ПАЗУХА,1.57500000,0.00000000,3.37500000,0.00000000,3.37500000,0.00000000,1.70000000,0.00000000,1
ЛОХАНКА ПОЧКИ,1.73040000,0.00000000,1.76280000,0.00000000,1.74920000,14.51730000,1.76560000,0.00000000,1
ЛУКОВИЦА  АОРТЫ,1.71680000,0.00000000,1.84530000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00010000,1
ЛУЧЕЗАПЯСТНЫЙ СУСТАВ,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
МАЛАЯ  КРИВИЗНА.,1.75200000,1.01200000,1.50000000,3.72730000,0.00760000,0.00420000,1.69940000,2.00000000,2
МАЛАЯ ПОЧЕЧНАЯ ЧАШЕЧКА,1.78900000,1.47800000,1.96500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
МАЛАЯ РИБОСОМАЛЬНАЯ СУБЪЕДЕНИЦА.,1.78900000,1.47800000,1.96500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
МАЛЫЕ ЧАШЕЧКИ,1.77540000,1.79100000,1.80660000,1.82230000,1.83790000,1.85350000,1.86910000,1.88480000,1
МАТРИКС,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
